review,sentiment,tokenized_review,lemmatized_review
one nice thing added gratuity bill since party larger 6 8 not expect tip,positive,"['one', 'nice', 'thing', 'added', 'gratuity', 'bill', 'since', 'party', 'larger', '6', '8', 'not', 'expect', 'tip']",one nice thing added gratuity bill since party larger 6 8 not expect tip
fly apple juice fly,negative,"['fly', 'apple', 'juice', 'fly']",fly apple juice fly
han nan chicken also tasty,positive,"['han', 'nan', 'chicken', 'also', 'tasty']",han nan chicken also tasty
service thought good,positive,"['service', 'thought', 'good']",service thought good
food barely lukewarm must sitting waiting server bring us,negative,"['food', 'barely', 'lukewarm', 'must', 'sitting', 'waiting', 'server', 'bring', 'us']",food barely lukewarm must sitting waiting server bring u
ryans bar definitely one edinburgh establishment not revisiting,negative,"['ryans', 'bar', 'definitely', 'one', 'edinburgh', 'establishment', 'not', 'revisiting']",ryans bar definitely one edinburgh establishment not revisiting
nicest chinese restaurant,positive,"['nicest', 'chinese', 'restaurant']",nicest chinese restaurant
overall like food service,positive,"['overall', 'like', 'food', 'service']",overall like food service
also serve indian naan bread hummus spicy pine nut sauce world,positive,"['also', 'serve', 'indian', 'naan', 'bread', 'hummus', 'spicy', 'pine', 'nut', 'sauce', 'world']",also serve indian naan bread hummus spicy pine nut sauce world
probably never coming back would not recommend,negative,"['probably', 'never', 'coming', 'back', 'would', 'not', 'recommend']",probably never coming back would not recommend
friends pasta also bad barely touched,negative,"['friends', 'pasta', 'also', 'bad', 'barely', 'touched']",friend pasta also bad barely touched
try airport experience tasty food speedy friendly service,positive,"['try', 'airport', 'experience', 'tasty', 'food', 'speedy', 'friendly', 'service']",try airport experience tasty food speedy friendly service
love decor chinese calligraphy wall paper,positive,"['love', 'decor', 'chinese', 'calligraphy', 'wall', 'paper']",love decor chinese calligraphy wall paper
never anything complain,positive,"['never', 'anything', 'complain']",never anything complain
restaurant clean family restaurant feel,positive,"['restaurant', 'clean', 'family', 'restaurant', 'feel']",restaurant clean family restaurant feel
way fried,negative,"['way', 'fried']",way fried
not sure long stood long enough begin feel awkwardly place,negative,"['not', 'sure', 'long', 'stood', 'long', 'enough', 'begin', 'feel', 'awkwardly', 'place']",not sure long stood long enough begin feel awkwardly place
opened sandwich impressed not good way,negative,"['opened', 'sandwich', 'impressed', 'not', 'good', 'way']",opened sandwich impressed not good way
warm feeling service felt like guest special treat,positive,"['warm', 'feeling', 'service', 'felt', 'like', 'guest', 'special', 'treat']",warm feeling service felt like guest special treat
extensive menu provides lots options breakfast,positive,"['extensive', 'menu', 'provides', 'lots', 'options', 'breakfast']",extensive menu provides lot option breakfast
always order vegetarian menu dinner wide array options choose,positive,"['always', 'order', 'vegetarian', 'menu', 'dinner', 'wide', 'array', 'options', 'choose']",always order vegetarian menu dinner wide array option choose
watched prices inflate portions get smaller management attitudes grow rapidly,negative,"['watched', 'prices', 'inflate', 'portions', 'get', 'smaller', 'management', 'attitudes', 'grow', 'rapidly']",watched price inflate portion get smaller management attitude grow rapidly
wonderful lil tapas ambience made feel warm fuzzy inside,positive,"['wonderful', 'lil', 'tapas', 'ambience', 'made', 'feel', 'warm', 'fuzzy', 'inside']",wonderful lil tapa ambience made feel warm fuzzy inside
got enjoy seafood salad fabulous vinegrette,positive,"['got', 'enjoy', 'seafood', 'salad', 'fabulous', 'vinegrette']",got enjoy seafood salad fabulous vinegrette
wontons thin not thick chewy almost melt mouth,positive,"['wontons', 'thin', 'not', 'thick', 'chewy', 'almost', 'melt', 'mouth']",wonton thin not thick chewy almost melt mouth
level 5 spicy perfect spice not overwhelm soup,positive,"['level', '5', 'spicy', 'perfect', 'spice', 'not', 'overwhelm', 'soup']",level 5 spicy perfect spice not overwhelm soup
sat right time server get go fantastic,positive,"['sat', 'right', 'time', 'server', 'get', 'go', 'fantastic']",sat right time server get go fantastic
main thing not enjoy crowd older crowd around mid 30s,negative,"['main', 'thing', 'not', 'enjoy', 'crowd', 'older', 'crowd', 'around', 'mid', '30s']",main thing not enjoy crowd older crowd around mid 30
side town definitely spot ill hit,positive,"['side', 'town', 'definitely', 'spot', 'ill', 'hit']",side town definitely spot ill hit
wait 30 minutes get drink longer get 2 arepas,negative,"['wait', '30', 'minutes', 'get', 'drink', 'longer', 'get', '2', 'arepas']",wait 30 minute get drink longer get 2 arepas
great place eat,positive,"['great', 'place', 'eat']",great place eat
jalapeno bacon soooo good,positive,"['jalapeno', 'bacon', 'soooo', 'good']",jalapeno bacon soooo good
service poor nice,negative,"['service', 'poor', 'nice']",service poor nice
food good service good prices good,positive,"['food', 'good', 'service', 'good', 'prices', 'good']",food good service good price good
place not clean food oh stale,negative,"['place', 'not', 'clean', 'food', 'oh', 'stale']",place not clean food oh stale
chicken dishes ok beef like shoe leather,negative,"['chicken', 'dishes', 'ok', 'beef', 'like', 'shoe', 'leather']",chicken dish ok beef like shoe leather
service beyond bad,negative,"['service', 'beyond', 'bad']",service beyond bad
happy,positive,['happy'],happy
tasted like dirt,negative,"['tasted', 'like', 'dirt']",tasted like dirt
one places phoenix would definately go back,positive,"['one', 'places', 'phoenix', 'would', 'definately', 'go', 'back']",one place phoenix would definately go back
block amazing,positive,"['block', 'amazing']",block amazing
close house lowkey nonfancy affordable prices good food,positive,"['close', 'house', 'lowkey', 'nonfancy', 'affordable', 'prices', 'good', 'food']",close house lowkey nonfancy affordable price good food
hot sour egg flower soups absolutely 5 stars,positive,"['hot', 'sour', 'egg', 'flower', 'soups', 'absolutely', '5', 'stars']",hot sour egg flower soup absolutely 5 star
sashimi poor quality soggy tasteless,negative,"['sashimi', 'poor', 'quality', 'soggy', 'tasteless']",sashimi poor quality soggy tasteless
great time family dinner sunday night,positive,"['great', 'time', 'family', 'dinner', 'sunday', 'night']",great time family dinner sunday night
food not tasty not say real traditional hunan style,negative,"['food', 'not', 'tasty', 'not', 'say', 'real', 'traditional', 'hunan', 'style']",food not tasty not say real traditional hunan style
bother slow service,negative,"['bother', 'slow', 'service']",bother slow service
flair bartenders absolutely amazing,positive,"['flair', 'bartenders', 'absolutely', 'amazing']",flair bartender absolutely amazing
frozen margaritas way sugary taste,negative,"['frozen', 'margaritas', 'way', 'sugary', 'taste']",frozen margarita way sugary taste
good ordered twice,positive,"['good', 'ordered', 'twice']",good ordered twice
nutshell 1 restaraunt smells like combination dirty fish market sewer,negative,"['nutshell', '1', 'restaraunt', 'smells', 'like', 'combination', 'dirty', 'fish', 'market', 'sewer']",nutshell 1 restaraunt smell like combination dirty fish market sewer
girlfriends veal bad,negative,"['girlfriends', 'veal', 'bad']",girlfriend veal bad
unfortunately not good,negative,"['unfortunately', 'not', 'good']",unfortunately not good
pretty satifying experience,positive,"['pretty', 'satifying', 'experience']",pretty satifying experience
join club get awesome offers via email,positive,"['join', 'club', 'get', 'awesome', 'offers', 'via', 'email']",join club get awesome offer via email
perfect someone likes beer ice cold case even colder,positive,"['perfect', 'someone', 'likes', 'beer', 'ice', 'cold', 'case', 'even', 'colder']",perfect someone like beer ice cold case even colder
bland flavorless good way describing barely tepid meat,negative,"['bland', 'flavorless', 'good', 'way', 'describing', 'barely', 'tepid', 'meat']",bland flavorless good way describing barely tepid meat
chains no fan beat place easily,negative,"['chains', 'no', 'fan', 'beat', 'place', 'easily']",chain no fan beat place easily
nachos must,positive,"['nachos', 'must']",nacho must
not coming back,negative,"['not', 'coming', 'back']",not coming back
not many words say place everything pretty well,positive,"['not', 'many', 'words', 'say', 'place', 'everything', 'pretty', 'well']",not many word say place everything pretty well
staff super nice quick even crazy crowds downtown juries lawyers court staff,positive,"['staff', 'super', 'nice', 'quick', 'even', 'crazy', 'crowds', 'downtown', 'juries', 'lawyers', 'court', 'staff']",staff super nice quick even crazy crowd downtown jury lawyer court staff
great atmosphere friendly fast service,positive,"['great', 'atmosphere', 'friendly', 'fast', 'service']",great atmosphere friendly fast service
received pita huge lot meat thumbs,positive,"['received', 'pita', 'huge', 'lot', 'meat', 'thumbs']",received pita huge lot meat thumb
food arrives meh,negative,"['food', 'arrives', 'meh']",food arrives meh
paying 785 hot dog fries looks like came kids meal wienerschnitzel not idea good meal,negative,"['paying', '785', 'hot', 'dog', 'fries', 'looks', 'like', 'came', 'kids', 'meal', 'wienerschnitzel', 'not', 'idea', 'good', 'meal']",paying 785 hot dog fry look like came kid meal wienerschnitzel not idea good meal
classic maine lobster roll fantastic,positive,"['classic', 'maine', 'lobster', 'roll', 'fantastic']",classic maine lobster roll fantastic
brother law works mall ate day guess sick night,negative,"['brother', 'law', 'works', 'mall', 'ate', 'day', 'guess', 'sick', 'night']",brother law work mall ate day guess sick night
good going review place twice hereas tribute place tribute event held last night,positive,"['good', 'going', 'review', 'place', 'twice', 'hereas', 'tribute', 'place', 'tribute', 'event', 'held', 'last', 'night']",good going review place twice hereas tribute place tribute event held last night
chips salsa really good salsa fresh,positive,"['chips', 'salsa', 'really', 'good', 'salsa', 'fresh']",chip salsa really good salsa fresh
place great,positive,"['place', 'great']",place great
mediocre food,negative,"['mediocre', 'food']",mediocre food
get inside impressed place,positive,"['get', 'inside', 'impressed', 'place']",get inside impressed place
super pissd,negative,"['super', 'pissd']",super pissd
service super friendly,positive,"['service', 'super', 'friendly']",service super friendly
sad little vegetables overcooked,negative,"['sad', 'little', 'vegetables', 'overcooked']",sad little vegetable overcooked
place nice surprise,positive,"['place', 'nice', 'surprise']",place nice surprise
goldencrispy delicious,positive,"['goldencrispy', 'delicious']",goldencrispy delicious
high hopes place since burgers cooked charcoal grill unfortunately taste fell flat way flat,negative,"['high', 'hopes', 'place', 'since', 'burgers', 'cooked', 'charcoal', 'grill', 'unfortunately', 'taste', 'fell', 'flat', 'way', 'flat']",high hope place since burger cooked charcoal grill unfortunately taste fell flat way flat
could eat bruschetta day devine,positive,"['could', 'eat', 'bruschetta', 'day', 'devine']",could eat bruschetta day devine
not single employee came see ok even needed water refill finally served us food,negative,"['not', 'single', 'employee', 'came', 'see', 'ok', 'even', 'needed', 'water', 'refill', 'finally', 'served', 'us', 'food']",not single employee came see ok even needed water refill finally served u food
lastly mozzarella sticks best thing ordered,positive,"['lastly', 'mozzarella', 'sticks', 'best', 'thing', 'ordered']",lastly mozzarella stick best thing ordered
first time ever came amazing experience still tell people awesome duck,positive,"['first', 'time', 'ever', 'came', 'amazing', 'experience', 'still', 'tell', 'people', 'awesome', 'duck']",first time ever came amazing experience still tell people awesome duck
server negligent needs made us feel unwelcome would not suggest place,negative,"['server', 'negligent', 'needs', 'made', 'us', 'feel', 'unwelcome', 'would', 'not', 'suggest', 'place']",server negligent need made u feel unwelcome would not suggest place
service terrible though,negative,"['service', 'terrible', 'though']",service terrible though
place overpriced not consistent boba really overpriced,negative,"['place', 'overpriced', 'not', 'consistent', 'boba', 'really', 'overpriced']",place overpriced not consistent boba really overpriced
packed,negative,['packed'],packed
say desserts yummy,positive,"['say', 'desserts', 'yummy']",say dessert yummy
seasonal fruit fresh white peach puree,positive,"['seasonal', 'fruit', 'fresh', 'white', 'peach', 'puree']",seasonal fruit fresh white peach puree
kept getting worse worse officially done,negative,"['kept', 'getting', 'worse', 'worse', 'officially', 'done']",kept getting worse worse officially done
place honestly blown,negative,"['place', 'honestly', 'blown']",place honestly blown
definitely would not eat,negative,"['definitely', 'would', 'not', 'eat']",definitely would not eat
not waste money,negative,"['not', 'waste', 'money']",not waste money
love put food nice plastic containers opposed cramming little paper takeout boxes,positive,"['love', 'put', 'food', 'nice', 'plastic', 'containers', 'opposed', 'cramming', 'little', 'paper', 'takeout', 'boxes']",love put food nice plastic container opposed cramming little paper takeout box
crêpe delicate thin moist,positive,"['crêpe', 'delicate', 'thin', 'moist']",crêpe delicate thin moist
awful service,negative,"['awful', 'service']",awful service
not ever go,negative,"['not', 'ever', 'go']",not ever go
food quality horrible,negative,"['food', 'quality', 'horrible']",food quality horrible
price think place would much rather gone,negative,"['price', 'think', 'place', 'would', 'much', 'rather', 'gone']",price think place would much rather gone
service fair best,negative,"['service', 'fair', 'best']",service fair best
love sushi found kabuki overpriced overhip underservices,negative,"['love', 'sushi', 'found', 'kabuki', 'overpriced', 'overhip', 'underservices']",love sushi found kabuki overpriced overhip underservices
favor stay away dish,negative,"['favor', 'stay', 'away', 'dish']",favor stay away dish
poor service,negative,"['poor', 'service']",poor service
no one table thought food average worth wait,negative,"['no', 'one', 'table', 'thought', 'food', 'average', 'worth', 'wait']",no one table thought food average worth wait
best service food ever maria server good friendly made day,positive,"['best', 'service', 'food', 'ever', 'maria', 'server', 'good', 'friendly', 'made', 'day']",best service food ever maria server good friendly made day
excellent,positive,['excellent'],excellent
paid bill not tip felt server terrible job,negative,"['paid', 'bill', 'not', 'tip', 'felt', 'server', 'terrible', 'job']",paid bill not tip felt server terrible job
lunch great experience,positive,"['lunch', 'great', 'experience']",lunch great experience
never bland food surprised considering article read focused much spices flavor,negative,"['never', 'bland', 'food', 'surprised', 'considering', 'article', 'read', 'focused', 'much', 'spices', 'flavor']",never bland food surprised considering article read focused much spice flavor
food way overpriced portions fucking small,negative,"['food', 'way', 'overpriced', 'portions', 'fucking', 'small']",food way overpriced portion fucking small
recently tried caballeros back every week since,positive,"['recently', 'tried', 'caballeros', 'back', 'every', 'week', 'since']",recently tried caballeros back every week since
40 bucks head really expect better food,negative,"['40', 'bucks', 'head', 'really', 'expect', 'better', 'food']",40 buck head really expect better food
food came good pace,positive,"['food', 'came', 'good', 'pace']",food came good pace
ate twice last visit especially enjoyed salmon salad,positive,"['ate', 'twice', 'last', 'visit', 'especially', 'enjoyed', 'salmon', 'salad']",ate twice last visit especially enjoyed salmon salad
could not believe dirty oysters,negative,"['could', 'not', 'believe', 'dirty', 'oysters']",could not believe dirty oyster
place deserves no stars,negative,"['place', 'deserves', 'no', 'stars']",place deserves no star
fact going round 4 stars awesome,positive,"['fact', 'going', 'round', '4', 'stars', 'awesome']",fact going round 4 star awesome
disbelief dish qualified worst version foods ever tasted,negative,"['disbelief', 'dish', 'qualified', 'worst', 'version', 'foods', 'ever', 'tasted']",disbelief dish qualified worst version food ever tasted
bad day not low tolerance rude customer service people job nice polite wash dishes otherwise,negative,"['bad', 'day', 'not', 'low', 'tolerance', 'rude', 'customer', 'service', 'people', 'job', 'nice', 'polite', 'wash', 'dishes', 'otherwise']",bad day not low tolerance rude customer service people job nice polite wash dish otherwise
potatoes great biscuit,positive,"['potatoes', 'great', 'biscuit']",potato great biscuit
probably would not go,negative,"['probably', 'would', 'not', 'go']",probably would not go
flavorful perfect amount heat,positive,"['flavorful', 'perfect', 'amount', 'heat']",flavorful perfect amount heat
price reasonable service great,positive,"['price', 'reasonable', 'service', 'great']",price reasonable service great
wife hated meal coconut shrimp friends really not enjoy meals either,negative,"['wife', 'hated', 'meal', 'coconut', 'shrimp', 'friends', 'really', 'not', 'enjoy', 'meals', 'either']",wife hated meal coconut shrimp friend really not enjoy meal either
fella got huevos rancheros not look appealing,negative,"['fella', 'got', 'huevos', 'rancheros', 'not', 'look', 'appealing']",fella got huevos rancheros not look appealing
went happy hour great list wines,positive,"['went', 'happy', 'hour', 'great', 'list', 'wines']",went happy hour great list wine
may say buffet pricey think get pay place getting quite lot,positive,"['may', 'say', 'buffet', 'pricey', 'think', 'get', 'pay', 'place', 'getting', 'quite', 'lot']",may say buffet pricey think get pay place getting quite lot
probably not coming back,negative,"['probably', 'not', 'coming', 'back']",probably not coming back
worst foodservice,negative,"['worst', 'foodservice']",worst foodservice
place pretty good nice little vibe restaurant,positive,"['place', 'pretty', 'good', 'nice', 'little', 'vibe', 'restaurant']",place pretty good nice little vibe restaurant
talk great customer service course back,positive,"['talk', 'great', 'customer', 'service', 'course', 'back']",talk great customer service course back
hot dishes not hot cold dishes close room tempi watched staff prepare food bare hands no gloveseverything deep fried oil,negative,"['hot', 'dishes', 'not', 'hot', 'cold', 'dishes', 'close', 'room', 'tempi', 'watched', 'staff', 'prepare', 'food', 'bare', 'hands', 'no', 'gloveseverything', 'deep', 'fried', 'oil']",hot dish not hot cold dish close room tempo watched staff prepare food bare hand no gloveseverything deep fried oil
love fries beans,positive,"['love', 'fries', 'beans']",love fry bean
always pleasure dealing,positive,"['always', 'pleasure', 'dealing']",always pleasure dealing
plethora salads sandwiches everything tried gets seal approval,positive,"['plethora', 'salads', 'sandwiches', 'everything', 'tried', 'gets', 'seal', 'approval']",plethora salad sandwich everything tried get seal approval
place awesome want something light healthy summer,positive,"['place', 'awesome', 'want', 'something', 'light', 'healthy', 'summer']",place awesome want something light healthy summer
sushi strip place go,positive,"['sushi', 'strip', 'place', 'go']",sushi strip place go
service great even manager came helped table,positive,"['service', 'great', 'even', 'manager', 'came', 'helped', 'table']",service great even manager came helped table
feel dining room college cooking course high class dining service slow best,negative,"['feel', 'dining', 'room', 'college', 'cooking', 'course', 'high', 'class', 'dining', 'service', 'slow', 'best']",feel dining room college cooking course high class dining service slow best
started review two stars editing give one,negative,"['started', 'review', 'two', 'stars', 'editing', 'give', 'one']",started review two star editing give one
worst sushi ever eat besides costcos,negative,"['worst', 'sushi', 'ever', 'eat', 'besides', 'costcos']",worst sushi ever eat besides costcos
excellent restaurant highlighted great service unique menu beautiful setting,positive,"['excellent', 'restaurant', 'highlighted', 'great', 'service', 'unique', 'menu', 'beautiful', 'setting']",excellent restaurant highlighted great service unique menu beautiful setting
boyfriend sat bar completely delightful experience,positive,"['boyfriend', 'sat', 'bar', 'completely', 'delightful', 'experience']",boyfriend sat bar completely delightful experience
weird vibe owners,negative,"['weird', 'vibe', 'owners']",weird vibe owner
hardly meat,negative,"['hardly', 'meat']",hardly meat
better bagels grocery store,negative,"['better', 'bagels', 'grocery', 'store']",better bagel grocery store
go place gyros,positive,"['go', 'place', 'gyros']",go place gyro
love ownerchef one authentic japanese cool dude,positive,"['love', 'ownerchef', 'one', 'authentic', 'japanese', 'cool', 'dude']",love ownerchef one authentic japanese cool dude
burgers not good pizza used amazing doughy flavorless,negative,"['burgers', 'not', 'good', 'pizza', 'used', 'amazing', 'doughy', 'flavorless']",burger not good pizza used amazing doughy flavorless
found six inch long piece wire salsa,negative,"['found', 'six', 'inch', 'long', 'piece', 'wire', 'salsa']",found six inch long piece wire salsa
service terrible food mediocre,negative,"['service', 'terrible', 'food', 'mediocre']",service terrible food mediocre
definately enjoyed,positive,"['definately', 'enjoyed']",definately enjoyed
ordered albondigas soup warm tasted like tomato soup frozen meatballs,negative,"['ordered', 'albondigas', 'soup', 'warm', 'tasted', 'like', 'tomato', 'soup', 'frozen', 'meatballs']",ordered albondigas soup warm tasted like tomato soup frozen meatball
three different occasions asked well done medium well three times got bloodiest piece meat plate,negative,"['three', 'different', 'occasions', 'asked', 'well', 'done', 'medium', 'well', 'three', 'times', 'got', 'bloodiest', 'piece', 'meat', 'plate']",three different occasion asked well done medium well three time got bloodiest piece meat plate
two bites refused eat anymore,negative,"['two', 'bites', 'refused', 'eat', 'anymore']",two bite refused eat anymore
service extremely slow,negative,"['service', 'extremely', 'slow']",service extremely slow
20 minutes wait got table,negative,"['20', 'minutes', 'wait', 'got', 'table']",20 minute wait got table
seriously killer hot chai latte,positive,"['seriously', 'killer', 'hot', 'chai', 'latte']",seriously killer hot chai latte
no allergy warnings menu waitress absolutely no clue meals not contain peanuts,negative,"['no', 'allergy', 'warnings', 'menu', 'waitress', 'absolutely', 'no', 'clue', 'meals', 'not', 'contain', 'peanuts']",no allergy warning menu waitress absolutely no clue meal not contain peanut
boyfriend tried mediterranean chicken salad fell love,positive,"['boyfriend', 'tried', 'mediterranean', 'chicken', 'salad', 'fell', 'love']",boyfriend tried mediterranean chicken salad fell love
rotating beers tap also highlight place,positive,"['rotating', 'beers', 'tap', 'also', 'highlight', 'place']",rotating beer tap also highlight place
pricing bit concern mellow mushroom,negative,"['pricing', 'bit', 'concern', 'mellow', 'mushroom']",pricing bit concern mellow mushroom
worst thai ever,negative,"['worst', 'thai', 'ever']",worst thai ever
stay vegas must get breakfast least,positive,"['stay', 'vegas', 'must', 'get', 'breakfast', 'least']",stay vega must get breakfast least
want first say server great perfect service,positive,"['want', 'first', 'say', 'server', 'great', 'perfect', 'service']",want first say server great perfect service
pizza selections good,positive,"['pizza', 'selections', 'good']",pizza selection good
strawberry tea good,positive,"['strawberry', 'tea', 'good']",strawberry tea good
highly unprofessional rude loyal patron,negative,"['highly', 'unprofessional', 'rude', 'loyal', 'patron']",highly unprofessional rude loyal patron
overall great experience,positive,"['overall', 'great', 'experience']",overall great experience
spend money elsewhere,negative,"['spend', 'money', 'elsewhere']",spend money elsewhere
regular toasted bread equally satisfying occasional pats butter mmmm,positive,"['regular', 'toasted', 'bread', 'equally', 'satisfying', 'occasional', 'pats', 'butter', 'mmmm']",regular toasted bread equally satisfying occasional pat butter mmmm
buffet bellagio far anticipated,negative,"['buffet', 'bellagio', 'far', 'anticipated']",buffet bellagio far anticipated
drinks weak people,negative,"['drinks', 'weak', 'people']",drink weak people
order not correct,negative,"['order', 'not', 'correct']",order not correct
also feel like chips bought not made house,negative,"['also', 'feel', 'like', 'chips', 'bought', 'not', 'made', 'house']",also feel like chip bought not made house
disappointing dinner went elsewhere dessert,negative,"['disappointing', 'dinner', 'went', 'elsewhere', 'dessert']",disappointing dinner went elsewhere dessert
chips sals amazing,positive,"['chips', 'sals', 'amazing']",chip sals amazing
not returning,negative,"['not', 'returning']",not returning
new fav vegas buffet spot,positive,"['new', 'fav', 'vegas', 'buffet', 'spot']",new fav vega buffet spot
seriously cannot believe owner many unexperienced employees running around like chickens heads cut,negative,"['seriously', 'can', 'not', 'believe', 'owner', 'many', 'unexperienced', 'employees', 'running', 'around', 'like', 'chickens', 'heads', 'cut']",seriously can not believe owner many unexperienced employee running around like chicken head cut
sad,negative,['sad'],sad
felt insulted disrespected could talk judge another human like,negative,"['felt', 'insulted', 'disrespected', 'could', 'talk', 'judge', 'another', 'human', 'like']",felt insulted disrespected could talk judge another human like
call steakhouse cannot properly cook steak not understand,negative,"['call', 'steakhouse', 'can', 'not', 'properly', 'cook', 'steak', 'not', 'understand']",call steakhouse can not properly cook steak not understand
not impressed concept food,negative,"['not', 'impressed', 'concept', 'food']",not impressed concept food
thing not crazy guacamole not like puréed,negative,"['thing', 'not', 'crazy', 'guacamole', 'not', 'like', 'puréed']",thing not crazy guacamole not like puréed
really nothing postinos hope experience better,negative,"['really', 'nothing', 'postinos', 'hope', 'experience', 'better']",really nothing postinos hope experience better
got food poisoning buffet,negative,"['got', 'food', 'poisoning', 'buffet']",got food poisoning buffet
brought fresh batch fries thinking yay something warm no,negative,"['brought', 'fresh', 'batch', 'fries', 'thinking', 'yay', 'something', 'warm', 'no']",brought fresh batch fry thinking yay something warm no
hilarious yummy christmas eve dinner remember biggest fail entire trip us,negative,"['hilarious', 'yummy', 'christmas', 'eve', 'dinner', 'remember', 'biggest', 'fail', 'entire', 'trip', 'us']",hilarious yummy christmas eve dinner remember biggest fail entire trip u
needless say not going back anytime soon,negative,"['needless', 'say', 'not', 'going', 'back', 'anytime', 'soon']",needless say not going back anytime soon
place disgusting,negative,"['place', 'disgusting']",place disgusting
every time eat see caring teamwork professional degree,positive,"['every', 'time', 'eat', 'see', 'caring', 'teamwork', 'professional', 'degree']",every time eat see caring teamwork professional degree
ri style calamari joke,negative,"['ri', 'style', 'calamari', 'joke']",ri style calamari joke
however much garlic fondue barely edible,negative,"['however', 'much', 'garlic', 'fondue', 'barely', 'edible']",however much garlic fondue barely edible
could barely stomach meal not complain business lunch,negative,"['could', 'barely', 'stomach', 'meal', 'not', 'complain', 'business', 'lunch']",could barely stomach meal not complain business lunch
bad lost heart finish,negative,"['bad', 'lost', 'heart', 'finish']",bad lost heart finish
also took forever bring us check asked,negative,"['also', 'took', 'forever', 'bring', 'us', 'check', 'asked']",also took forever bring u check asked
not ones make scene restaurants not get itdefinitely lost love one,negative,"['not', 'ones', 'make', 'scene', 'restaurants', 'not', 'get', 'itdefinitely', 'lost', 'love', 'one']",not one make scene restaurant not get itdefinitely lost love one
disappointing experience,negative,"['disappointing', 'experience']",disappointing experience
food par dennys say not good,negative,"['food', 'par', 'dennys', 'say', 'not', 'good']",food par dennys say not good
want wait mediocre food downright terrible service place,negative,"['want', 'wait', 'mediocre', 'food', 'downright', 'terrible', 'service', 'place']",want wait mediocre food downright terrible service place
waaaaaayyyyyyyyyy rated saying,negative,"['waaaaaayyyyyyyyyy', 'rated', 'saying']",waaaaaayyyyyyyyyy rated saying
not going back,negative,"['not', 'going', 'back']",not going back
place fairly clean food simply not worth,negative,"['place', 'fairly', 'clean', 'food', 'simply', 'not', 'worth']",place fairly clean food simply not worth
place lacked style,negative,"['place', 'lacked', 'style']",place lacked style
sangria half glass wine full 12 ridiculous,negative,"['sangria', 'half', 'glass', 'wine', 'full', '12', 'ridiculous']",sangria half glass wine full 12 ridiculous
not bother coming,negative,"['not', 'bother', 'coming']",not bother coming
meat pretty dry sliced brisket pulled pork,negative,"['meat', 'pretty', 'dry', 'sliced', 'brisket', 'pulled', 'pork']",meat pretty dry sliced brisket pulled pork
building seems pretty neat bathroom pretty trippy would not eat,negative,"['building', 'seems', 'pretty', 'neat', 'bathroom', 'pretty', 'trippy', 'would', 'not', 'eat']",building seems pretty neat bathroom pretty trippy would not eat
equally awful,negative,"['equally', 'awful']",equally awful
probably not hurry go back,negative,"['probably', 'not', 'hurry', 'go', 'back']",probably not hurry go back
slow seating even reservation,negative,"['slow', 'seating', 'even', 'reservation']",slow seating even reservation
not good stretch imagination,negative,"['not', 'good', 'stretch', 'imagination']",not good stretch imagination
cashew cream sauce bland vegetables undercooked,negative,"['cashew', 'cream', 'sauce', 'bland', 'vegetables', 'undercooked']",cashew cream sauce bland vegetable undercooked
chipolte ranch dipping sause tasteless seemed thin watered no heat,negative,"['chipolte', 'ranch', 'dipping', 'sause', 'tasteless', 'seemed', 'thin', 'watered', 'no', 'heat']",chipolte ranch dipping sause tasteless seemed thin watered no heat
bit sweet not really spicy enough lacked flavor,negative,"['bit', 'sweet', 'not', 'really', 'spicy', 'enough', 'lacked', 'flavor']",bit sweet not really spicy enough lacked flavor
disappointed,negative,['disappointed'],disappointed
place horrible way overpriced,negative,"['place', 'horrible', 'way', 'overpriced']",place horrible way overpriced
maybe vegetarian fare twice thought average best,negative,"['maybe', 'vegetarian', 'fare', 'twice', 'thought', 'average', 'best']",maybe vegetarian fare twice thought average best
not busy know,negative,"['not', 'busy', 'know']",not busy know
tables outside also dirty lot time workers not always friendly helpful menu,negative,"['tables', 'outside', 'also', 'dirty', 'lot', 'time', 'workers', 'not', 'always', 'friendly', 'helpful', 'menu']",table outside also dirty lot time worker not always friendly helpful menu
ambiance not feel like buffet setting douchey indoor garden tea biscuits,negative,"['ambiance', 'not', 'feel', 'like', 'buffet', 'setting', 'douchey', 'indoor', 'garden', 'tea', 'biscuits']",ambiance not feel like buffet setting douchey indoor garden tea biscuit
con spotty service,negative,"['con', 'spotty', 'service']",con spotty service
fries not hot neither burger,negative,"['fries', 'not', 'hot', 'neither', 'burger']",fry not hot neither burger
came back cold,negative,"['came', 'back', 'cold']",came back cold
food came disappointment ensued,negative,"['food', 'came', 'disappointment', 'ensued']",food came disappointment ensued
real disappointment waiter,negative,"['real', 'disappointment', 'waiter']",real disappointment waiter
husband said rude not even apologize bad food anything,negative,"['husband', 'said', 'rude', 'not', 'even', 'apologize', 'bad', 'food', 'anything']",husband said rude not even apologize bad food anything
reason eat would fill night binge drinking get carbs stomach,negative,"['reason', 'eat', 'would', 'fill', 'night', 'binge', 'drinking', 'get', 'carbs', 'stomach']",reason eat would fill night binge drinking get carbs stomach
insults profound deuchebaggery go outside smoke break serving solidify,negative,"['insults', 'profound', 'deuchebaggery', 'go', 'outside', 'smoke', 'break', 'serving', 'solidify']",insult profound deuchebaggery go outside smoke break serving solidify
